"“All our dreams can come true, if we have the courage to pursue them.” – Walt Disney;"
"“You’ve gotta dance like there’s nobody watching, love like you’ll never be hurt, sing like there’s nobody listening, and live like it’s heaven on earth.” ― William W. Purkey"
“The secret of getting ahead is getting started.” – Mark Twain
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.” ― Helen Keller"
“Do one thing every day that scares you.”― Eleanor Roosevelt
"You were born to win, but to be a winner, you must plan to win, prepare to win, and expect to win.” – Zig Ziglar"
"“One thing’s for sure, if you don’t play, you don’t win.” – Kylie Francis"
"“Winning means you’re willing to go longer, work harder, and give more than anyone else.” – Vince Lombardi"
"“Talent wins games, but teamwork wins championships.” – Michael Jordan"
"“When I win and when I lose, I take ownership of it, because I really am in charge of what I do.” – Nicki Minaj"
 “A champion is afraid of losing. Everyone else is afraid of winning.” – Billie Jean King
"‘Competing at the highest level is not about winning. It’s about preparation, courage, understanding, nurturing your people, and heart. Winning is the result.” – Joe Torre"
“A winner is a dreamer who never gives up.” – Nelson Mandela
“Do what you feel in your heart to be right – for you’ll be criticized anyway.”― Eleanor Roosevelt
“The secret of your future is hidden in your daily routine.” – Mike Murdock
“Losers quit when they fail. Winners fail until they succeed.” –Robert T. Kiyosaki
“What is coming is better than what is gone.” – Unknown
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”― Roy T. Bennett
“If we have the attitude that it’s going to be a great day it usually is.” – Catherine Pulsifier
“Your passion is waiting for your courage to catch up.” – Isabelle Lafleche
“Don’t be afraid to give up the good to go for the great.” – John D. Rockefeller
"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.”― Marcus Aurelius"
“Do something today that your future self will thank you for.” –Unknown
“People who wonder if the glass is half empty or full miss the point. The glass is refillable.” – Unknown
“The greatest weapon against stress is the ability to choose one thought over another.” – William James
“A reader lives a thousand lives before he dies. The man who never reads lives only one.” ― George R.R. Martin
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”― Groucho Marx"
“Your only limit is your mind.” – Unknown
“Stop being afraid of what can go wrong and start being positive about what can go right.” – Unknown
“The difference between who you are and who you want to be is what you do.” – Unknown
“Invest in your dreams. Grind now. Shine later.” – Unknown
"“Strength does not come from winning. Your struggles develop your strengths. When you go through hardships and decide not to surrender, that is strength.” – Arnold Schwarzenegger"
"“We are what we repeatedly do. Excellence, then, is not an act, but a habit.” – Aristotle"
“Hustle in silence and let your success make the noise.” – Unknown
"“Some people want it to happen, some wish it would happen, others make it happen.” – Michael Jordan"
"“If you’re the smartest person in the room, you’re in the wrong room.” – Unknown"
“How wonderful it is that nobody need wait a single moment before starting to improve the world.” – Anne Frank
"“If you hear a voice within you say ‘you cannot paint,’ then by all means paint and that voice will be silenced.” – Vincent Van Gogh"
"“If it doesn’t challenge you, it doesn’t change you.” – Fred DeVito"
"“A dream doesn’t become reality through magic; it takes sweat, determination and hard work.” – Colin Powell"
"“Every night her thoughts weighed heavily on her soul but every morning she would get up and fight another day, every night she survived.” – R.H. Sin"
"“Still, I rise.” – Maya Angelou"
" “The best thing you can do is MASTER the chaos in you. You are not thrown into the fire, you ARE the fire.” – Mama Indigo"
“Flowers grow back even after the harshest winters. You will too.” – Jennae Cecilia
"“Life has many ways of testing a person’s will, either by having nothing happen at all or by having everything happen all at once.” – Paulo Coelho"
“Be strong enough to let go and wise enough to wait for what you deserve.” – Author Unknown
“The man who does not read has no advantage over the man who cannot read.”― Mark Twain
“It’s okay to be a glowstick: Sometimes we have to break before we shine.” – Jadah Sellner
“I’m still learning.” – Michelangelo
“Live as if you were to die tomorrow. Learn as if you were to live forever.” – Mahatma Gandhi
